Country Name,2018,2019,2020,2021,2022,2023
Argentina,5.2482E+11,4.47755E+11,3.85741E+11,4.86564E+11,6.33994E+11,6.49462E+11
Australia,1.43314E+12,1.39835E+12,1.33334E+12,1.56062E+12,1.69563E+12,1.73445E+12
Brazil,1.91693E+12,1.87329E+12,1.47611E+12,1.67065E+12,1.95192E+12,2.19113E+12
Canada,1.72533E+12,1.74373E+12,1.65568E+12,2.02238E+12,2.19041E+12,2.17334E+12
China,1.41478E+13,1.45602E+13,1.49964E+13,1.82017E+13,1.83168E+13,1.82704E+13
Germany,4.05543E+12,3.95989E+12,3.9414E+12,4.35525E+12,4.20102E+12,4.56221E+12
Spain,1.43164E+12,1.4035E+12,1.28978E+12,1.46124E+12,1.44885E+12,1.61948E+12
France,2.78158E+12,2.72279E+12,2.64793E+12,2.96643E+12,2.79479E+12,3.05625E+12
United Kingdom,2.89703E+12,2.87571E+12,2.724E+12,3.19456E+12,3.18124E+12,3.4208E+12
Indonesia,1.04227E+12,1.1191E+12,1.05905E+12,1.18651E+12,1.3191E+12,1.37117E+12
India,2.70293E+12,2.83561E+12,2.67485E+12,3.16727E+12,3.34611E+12,3.63849E+12
Japan,5.04088E+12,5.11799E+12,5.05407E+12,5.03915E+12,4.26246E+12,4.21317E+12
"Korea, Rep.",1.82425E+12,1.75105E+12,1.74407E+12,1.94231E+12,1.79936E+12,1.8448E+12
Mexico,1.2563E+12,1.30411E+12,1.12106E+12,1.31657E+12,1.46693E+12,1.79832E+12
Nigeria,4.21739E+11,6.6822E+11,5.98587E+11,6.09148E+11,6.4695E+11,4.87388E+11
Saudi Arabia,8.86565E+11,8.8889E+11,7.67951E+11,9.82661E+11,1.23908E+12,1.21858E+12
United States,2.05331E+13,2.1381E+13,2.10605E+13,2.33151E+13,2.56048E+13,2.72922E+13
South Africa,4.05261E+11,3.8933E+11,3.37975E+11,4.19986E+11,4.07596E+11,3.81441E+11
